Name: Red-orange sandy loam/alluvium
Type:  Soils
Class: Entisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg007
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Parent material consists of aeolian silts/clays and sandstone debris.

Physiography: Alluvium along creek on footslopes of sandstone (Nundooka Sandstone) outcropping hills



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg007a.txt
14.013    1.4771
13.975    1.4822
13.938    1.6308
13.900    1.6776
13.863    1.4991
13.826    1.4760
13.790    1.4601
13.753    1.5916
13.717    1.5931
13.680    1.5704
13.644    1.7887
13.608    1.9785
13.573    1.7583
13.537    1.5721
13.502    1.6539
13.467    1.7689
13.432    1.8762
13.398    1.8854
13.363    1.7877
13.329    1.8385
13.294    1.8118
13.260    1.7656
13.227    1.8030
13.193    1.8541
13.160    1.7497
13.126    1.5989
13.093    1.7251
13.060    1.8579
13.027    1.9524
12.995    2.0947
12.962    2.1894
12.930    2.0731
12.898    2.0550
12.866    2.2452
12.834    2.3039
12.802    2.2431
12.771    2.1509
12.739    2.1575
12.708    2.1562
12.677    1.9846
12.646    1.9640
12.615    2.1651
12.585    2.2748
12.554    2.2793
12.524    2.2548
12.494    2.0885
12.464    1.8883
12.434    1.8423
12.404    1.6871
12.374    1.4070
12.345    1.3726
12.316    1.4658
12.286    1.4448
12.257    1.4675
12.228    1.5474
12.200    1.6016
12.171    1.6375
12.143    1.7625
12.114    1.7875
12.086    1.8240
12.058    1.8850
12.030    1.7912
12.002    1.8531
11.974    2.0353
11.947    2.0981
11.919    2.1111
11.892    2.2090
11.865    2.2018
11.838    2.2342
11.811    2.2580
11.784    2.2386
11.757    2.3681
11.730    2.5267
11.704    2.5251
11.678    2.5059
11.651    2.5457
11.625    2.5124
11.599    2.4075
11.573    2.4488
11.547    2.5365
11.522    2.4794
11.496    2.4171
11.471    2.4478
11.445    2.5453
11.420    2.6125
11.395    2.5943
11.370    2.7159
11.345    2.7334
11.321    2.6339
11.296    2.6182
11.271    2.5863
11.247    2.4577
11.223    2.6021
11.198    2.7102
11.174    2.7162
11.150    2.8302
11.126    2.8256
11.102    2.8354
11.079    2.8627
11.055    2.9153
11.032    3.0123
11.008    3.1156
10.985    3.1595
10.962    3.1050
10.938    2.9125
10.915    2.7108
10.893    2.6015
10.870    2.5721
10.847    2.6553
10.824    2.5755
10.802    2.5174
10.779    2.5747
10.757    2.5870
10.735    2.5389
10.713    2.6173
10.690    2.6248
10.668    2.6073
10.647    2.5768
10.625    2.6081
10.603    2.6497
10.581    2.6809
10.560    2.6543
10.538    2.6310
10.517    2.6369
10.496    2.7826
10.474    2.8636
10.453    2.9753
10.432    3.0826
10.411    3.0391
10.390    3.0492
10.370    3.1298
10.349    3.2653
10.328    3.4668
10.308    3.6039
10.287    3.7042
10.267    3.6869
10.247    3.8092
10.227    3.9417
10.206    3.9680
10.186    4.0735
10.166    4.2258
10.146    4.4310
10.127    4.5575
10.107    4.6999
10.087    4.8094
10.068    4.9048
10.048    4.9877
10.029    5.2817
10.009    5.5290
 9.990    5.5635
 9.971    5.6902
 9.952    5.9436
 9.933    6.1110
 9.914    6.1861
 9.895    6.1832
 9.876    6.1131
 9.857    6.1133
 9.838    6.2081
 9.820    6.3102
 9.801    6.3838
 9.783    6.5525
 9.764    6.7456
 9.746    7.1617
 9.728    7.5833
 9.709    7.7936
 9.691    7.9061
 9.673    8.0152
 9.655    8.1653
 9.637    8.4005
 9.619    8.5626
 9.602    8.6276
 9.584    8.7793
 9.566    8.9153
 9.549    9.0061
 9.531    9.0804
 9.514    9.3271
 9.496    9.5587
 9.479    9.6972
 9.461    9.7267
 9.444    9.7967
 9.427   10.0222
 9.410   10.2056
